age,season,voting_phase,avg_score,score_trend,partner_id,judge_count,industry_encoded,is_usa,partner_win_rate,industry_avg_placement
50,1,1,24.166666666666668,1.0000000000000002,0,3,0,1,1.0,6.75
29,1,1,21.333333333333332,2.771428571428571,1,3,0,1,0.2,6.75
42,1,1,15.0,-2.4999999999999982,2,3,1,1,0.18181818181818182,6.2631578947368425
35,1,1,23.75,1.7000000000000004,3,3,2,0,0.14285714285714285,8.882352941176471
32,1,1,21.1,0.3999999999999981,4,3,3,1,0.25,6.885245901639344
32,1,1,18.5,0.9999999999999956,5,3,4,1,0.09090909090909091,6.686567164179104
42,2,1,20.0,-6.000000000000003,6,3,0,1,0.0,6.75
39,2,1,23.0,0.6999999999999984,7,3,0,1,0.29411764705882354,6.75
66,2,1,21.666666666666668,0.857142857142857,2,3,0,1,0.18181818181818182,6.75
42,2,1,24.071428571428573,1.303571428571428,5,3,0,1,0.09090909090909091,6.75
26,2,1,27.520812499999998,0.6210178571428554,8,3,1,1,0.14285714285714285,6.2631578947368425
43,2,1,22.520825000000002,0.45435952380952327,9,3,1,1,0.18181818181818182,6.2631578947368425
44,2,1,23.0,-0.4999999999999986,3,3,5,0,0.14285714285714285,8.0
35,2,1,12.5,-1.4000000000000001,4,3,3,1,0.25,6.885245901639344
29,2,1,27.437475,0.5416499999999993,10,3,3,1,0.32,6.885245901639344
46,2,1,13.0,0.0,11,3,6,1,0.0,6.5
54,3,2,20.0,2.500000000000004,4,3,0,1,0.25,6.75
42,3,2,24.25,0.900000000000002,6,3,0,1,0.0,6.75
25,3,2,24.9375,0.577380952380952,5,3,0,1,0.09090909090909091,6.75
30,3,2,25.88888888888889,0.6333333333333335,2,3,0,1,0.18181818181818182,6.75
32,3,2,26.866660000000003,0.7454509090909093,12,3,0,1,0.2222222222222222,6.75
37,3,2,25.76666,0.8545418181818192,10,3,1,1,0.32,6.2631578947368425
31,3,2,20.0,3.9999999999999973,13,3,2,1,0.0,8.882352941176471
25,3,2,24.4,1.4999999999999976,7,3,3,1,0.29411764705882354,6.885245901639344
35,3,2,21.0,1.6999999999999995,8,3,3,1,0.14285714285714285,6.885245901639344
62,3,2,20.428571428571427,0.7857142857142854,14,3,4,0,0.2857142857142857,6.686567164179104
37,3,2,12.0,0.0,15,3,4,1,0.0,6.686567164179104
59,4,2,19.071428571428573,0.37499999999999895,2,3,0,1,0.18181818181818182,6.75
42,4,2,24.27777777777778,0.7083333333333334,10,3,0,1,0.32,6.75
44,4,2,15.6,-0.900000000000002,15,3,1,1,0.0,6.2631578947368425
29,4,2,26.233320000000003,0.7393866666666675,7,3,1,1,0.29411764705882354,6.2631578947368425
24,4,2,26.883319999999998,0.7909018181818199,16,3,1,1,0.4,6.2631578947368425
28,4,2,20.0,1.0000000000000016,17,3,7,1,0.0,10.0
41,4,2,20.0,1.9999999999999984,1,3,2,0,0.2,8.882352941176471
39,4,2,22.166666666666668,0.4285714285714283,3,3,2,0,0.14285714285714285,8.882352941176471
45,4,2,19.0,0.33333333333333237,12,3,3,1,0.2222222222222222,6.885245901639344
30,4,2,26.76665,0.6545363636363638,14,3,3,1,0.2857142857142857,6.885245901639344
50,4,2,19.0,0.6000000000000012,8,3,4,1,0.14285714285714285,6.686567164179104
38,5,2,24.25,0.7023809523809519,2,3,0,0,0.18181818181818182,6.75
56,5,2,24.428571428571427,0.14285714285714268,8,3,0,0,0.14285714285714285,6.75
23,5,2,27.0,0.11428571428571299,18,3,0,1,0.47619047619047616,6.75
35,5,2,25.27777777777778,0.7500000000000017,19,3,0,1,0.5294117647058824,6.75
30,5,2,20.75,1.500000000000001,12,3,1,1,0.2222222222222222,6.2631578947368425
29,5,2,16.0,0.0,1,3,2,1,0.2,8.882352941176471
22,5,2,21.0,-2.9562371437441025e-15,9,3,2,1,0.18181818181818182,8.882352941176471
32,5,2,26.649990000000003,0.4393884848484849,16,3,8,0,0.4,5.0
32,5,2,27.23332,0.5878715151515145,7,3,3,0,0.29411764705882354,6.885245901639344
65,5,2,17.333333333333332,-0.4999999999999987,10,3,3,1,0.32,6.885245901639344
47,5,2,24.25,0.24545454545454637,3,3,3,1,0.14285714285714285,6.885245901639344
49,5,2,20.4,0.3999999999999986,14,3,4,1,0.2857142857142857,6.686567164179104
34,6,2,24.75,0.6878787878787882,10,3,0,0,0.32,6.75
49,6,2,18.333333333333332,1.500000000000002,9,3,0,1,0.18181818181818182,6.75
62,6,2,22.8,-0.500000000000002,5,3,0,1,0.09090909090909091,6.75
42,6,2,22.333333333333332,-0.22857142857142795,20,3,0,1,0.0,6.75
34,6,2,24.214285714285715,0.4464285714285717,19,3,0,1,0.5294117647058824,6.75
35,6,2,23.22222222222222,1.0000000000000009,8,3,0,1,0.14285714285714285,6.75
33,6,2,26.15,0.4212121212121212,2,3,1,1,0.18181818181818182,6.2631578947368425
36,6,2,28.2,0.21212121212121213,18,3,1,1,0.47619047619047616,6.2631578947368425
34,6,2,15.0,-8.119847570969573e-16,3,3,1,0,0.14285714285714285,6.2631578947368425
53,6,2,16.5,0.9999999999999972,14,3,9,1,0.2857142857142857,12.0
43,6,2,18.5,1.400000000000002,16,3,10,1,0.4,8.25
21,6,2,25.25,0.4642857142857132,12,3,3,1,0.2222222222222222,6.885245901639344
50,7,2,18.5,0.0,21,3,0,1,0.0,6.75
82,7,2,17.5,0.5428571428571425,22,3,0,1,0.0,6.75
61,7,2,21.928571428571427,0.7678571428571419,8,3,0,1,0.14285714285714285,6.75
18,7,2,22.833333333333332,0.35000000000000053,16,3,0,1,0.4,6.75
31,7,2,21.0,-2.9562371437441025e-15,7,3,1,1,0.29411764705882354,6.2631578947368425
34,7,2,22.4375,0.7083333333333327,10,3,1,1,0.32,6.2631578947368425
35,7,2,24.25,0.39090909090909076,14,3,1,1,0.2857142857142857,6.2631578947368425
43,7,2,12.0,0.0,2,3,11,1,0.18181818181818182,8.75
40,7,2,22.3,-0.200000000000002,1,3,3,1,0.2,6.885245901639344
29,7,2,24.35,0.7969696969696975,23,3,3,1,0.3333333333333333,6.885245901639344
27,7,2,17.75,-1.500000000000001,18,3,4,1,0.47619047619047616,6.686567164179104
41,7,2,17.875,0.5500000000000002,12,3,4,1,0.2222222222222222,6.686567164179104
37,7,2,26.95,0.3606060606060617,19,3,4,1,0.5294117647058824,6.686567164179104
33,8,2,27.681818181818183,0.29999999999999954,10,3,0,0,0.32,6.75
38,8,2,18.333333333333332,-0.9999999999999992,7,3,0,1,0.29411764705882354,6.75
52,8,2,20.8,1.0999999999999988,14,3,0,1,0.2857142857142857,6.75
50,8,2,19.714285714285715,0.6785714285714284,2,3,1,1,0.18181818181818182,6.2631578947368425
